iter,LR0.9_E0.0_Time,LR0.9_E0.0_Rewards,LR0.9_E0.0_Steps,LR0.9_E0.0_Convergence,LR0.9_E0.5_Time,LR0.9_E0.5_Rewards,LR0.9_E0.5_Steps,LR0.9_E0.5_Convergence,LR0.9_E0.7_Time,LR0.9_E0.7_Rewards,LR0.9_E0.7_Steps,LR0.9_E0.7_Convergence,LR0.9_E0.9_Time,LR0.9_E0.9_Rewards,LR0.9_E0.9_Steps,LR0.9_E0.9_Convergence
77,0.019946207,-30.32,120.2,7.0338938499,0.015411221,-36.38,128.28,11.2752108497,0.015359657,37.28,64.72,7.7597342952,0.014755141,-70.76,140.44,7.3165090575
78,0.020178974,-179.76,194.9,6.8772587929,0.015643369,-18.48,118.46,11.1343074172,0.015457977,41.38,60.62,7.9905762805,0.014903501,19.14,82.86,7.0586848283
79,0.020443085,-47.46,133.3,6.9328157503,0.015843601,-84.76,150.4,11.8806610511,0.015635117,0.44,99.54,8.5926318842,0.015037071,-131.52,170.9,7.1669454818
80,0.020576068,-4.36,100.3,7.0352959471,0.015971541,19.16,82.84,11.5227944538,0.015768529,-6.92,104.88,9.0357155487,0.015166002,51.74,50.26,6.8799354702
81,0.0206977,-192.2,197.24,7.2183905353,0.016105584,17.02,84.98,11.1408558639,0.015871866,-52.96,136.78,8.5206774512,0.015276132,-8.22,104.16,7.7941883949
82,0.020890997,-5.12,99.04,7.4460874483,0.016305438,-13.82,109.76,10.2951477387,0.016030352,36.52,65.48,9.0439012024,0.015430509,-15.52,111.46,8.2694619585
83,0.021013034,1.48,98.5,7.5326965146,0.016437266,-117.24,162.68,9.5874715096,0.016157487,9.78,92.22,9.60050415,0.015548075,-10.06,106,8.478775633
84,0.021171391,-66.96,150.78,8.0924415752,0.016684584,-124.2,173.68,9.2831267804,0.016284814,37.3,64.7,9.829036989,0.015657295,-41.9,133.8,8.4153299067
85,0.021337804,23.78,78.22,8.388402983,0.016850806,37.34,64.66,9.0812474743,0.01638339,33.64,68.36,10.2673680143,0.015758581,34.9,67.1,7.9698829519
86,0.021488975,-43.34,127.16,9.148073027,0.016987165,-160.68,185.92,9.0644235421,0.016552507,-173.16,190.32,10.3262718499,0.015859287,-38.5,132.42,7.8984399908
87,0.021631559,33.88,68.12,8.9124439637,0.017113593,-15.32,109.24,9.0301575492,0.016725014,1.46,100.54,10.7872913441,0.01600376,-33.24,125.14,7.9470461967
88,0.021789768,19.42,82.58,8.7649686201,0.017220665,16.1,85.9,9.0477913469,0.016841619,21.68,80.32,10.4895637288,0.016165717,50.34,51.66,8.2857494531
89,0.021890301,35.24,66.76,8.1863472378,0.017358656,35.7,66.3,8.3847919886,0.016993475,-49.94,137.8,9.7483295829,0.016272986,-28.1,124.04,8.0871430722
90,0.02202747,10.54,91.46,7.9128508084,0.017470448,-12.94,110.9,7.8521572755,0.017201688,-31.44,123.34,9.2777243795,0.01640209,15.76,86.24,8.2390451312
91,0.022129046,-47.04,130.86,7.6092735596,0.017593658,36.7,65.3,7.9774241808,0.017334022,14.88,87.12,9.544425409,0.01655955,17.86,84.14,7.7993050701
92,0.022291218,-160.16,185.4,7.7588740009,0.017679275,-34.34,122.2,8.2203432609,0.017506731,-83.72,155.42,9.3659995369,0.016687002,-23.2,119.14,7.5204785458
93,0.022405927,-37.08,128.98,7.7589123255,0.017796425,14.98,87.02,8.5524828943,0.017638713,-12.58,110.54,8.6496836946,0.016799808,19.46,80.52,7.3703501396
94,0.02252608,15.68,86.32,7.4962331728,0.017944873,-104.62,174.3,8.5796371869,0.017755499,-147.18,180.5,8.4734909003,0.016906714,52.58,49.42,7.2013016437
95,0.022620638,-172.46,191.64,7.5352511395,0.018157249,-103.02,168.66,9.0504610304,0.017909816,-184.2,195.3,8.1241685531,0.017031552,-15.88,111.82,7.2098007718
96,0.022758356,-9.46,105.4,7.0982019827,0.018369533,-156.6,185.88,8.4817947334,0.018049123,-143.74,179.08,8.293891504,0.017310903,-22.52,122.5,7.4514242454
97,0.022883381,-43.82,131.68,7.1674534014,0.018572663,-113.92,167.44,8.5657111071,0.018204019,-189.54,196.6,7.9176334736,0.017425974,-42.7,136.62,7.3633165989
98,0.023017123,-14.88,114.86,7.4438678755,0.018761904,-21.1,117.04,8.7180493374,0.018383155,-19.2,115.14,8.230488862,0.017590341,-5.88,103.84,7.3681289242
99,0.023157196,-20.92,112.82,7.9597715947,0.019161563,-199,200,8.8378888162,0.01852011,-38.08,127.96,8.5359657737,0.017734075,-42.32,132.2,7.2413673226
100,0.023312052,-1.94,99.9,8.2439429669,0.019446542,-120.82,166.26,9.2090027047,0.018641349,-84.4,158.12,8.4479560941,0.017879501,-31.14,123.04,7.3784167335
101,0.023629344,-24.78,126.78,8.5578239961,0.019679623,22.92,79.08,9.2815136182,0.018800178,-134.64,174.02,8.0946966311,0.018017983,-199,200,7.256053424
102,0.023736153,-82.08,157.82,8.2279706777,0.019773234,-13.7,111.66,9.1963247297,0.018907646,12.18,87.8,7.8834976001,0.018324483,-175.22,190.36,7.410132429
103,0.023923819,-193.48,198.52,8.2753155045,0.019964514,39.86,62.14,9.1107396356,0.019010276,38.18,63.82,8.2261842868,0.018554265,-79.76,155.5,7.2477763095
