iter,E0.1_Steps,E0.1_Time,E0.1_Rewards,E0.1_Convergence,E0.3_Steps,E0.3_Time,E0.3_Rewards,E0.3_Convergence,E0.5_Steps,E0.5_Time,E0.5_Rewards,E0.5_Convergence
146,14,0.000694,86,7.38742955377347E-05,17,0.000813,83,5.98387559733737E-05,23,0.001096,77,5.38548655839577E-05
147,19,0.000899,81,6.64868659896456E-05,16,0.000763,84,5.38548803774575E-05,14,0.000684,86,4.84693790241408E-05
148,15,0.000726,85,5.98381793963654E-05,14,0.00068,86,4.84693923397117E-05,42,0.001966,-140,4.362244112599E-05
149,27,0.00125,-26,5.38543614538867E-05,19,0.000901,81,4.36224531057405E-05,17,0.000823,83,3.9260197013391E-05
150,14,0.000682,86,4.84689253141823E-05,21,0.000991,79,3.92602077994297E-05,17,0.000822,-16,3.53341773120519E-05
151,15,0.000717,85,0.000043622,14,0.000677,86,3.53341870180657E-05,38,0.001768,-37,3.18007595865311E-05
152,14,0.000676,86,3.92598295064772E-05,27,0.001262,-26,3.18007683119958E-05,17,0.000823,83,2.86206836221936E-05
153,14,0.000685,86,3.53338465544084E-05,14,0.000687,86,2.86206914807963E-05,62,0.002857,-160,2.57586152656586E-05
154,15,0.000721,85,3.18004618975465E-05,14,0.000697,86,2.57586223284534E-05,61,0.002814,-159,2.31827537362506E-05
155,15,0.000722,85,2.86204157049497E-05,16,0.000769,84,2.31827601027135E-05,34,0.001602,-231,2.08644783583622E-05
156,18,0.000855,82,2.57583741358758E-05,18,0.00086,-17,2.08644840853367E-05,16,0.000782,84,0.000018778
157,14,0.000674,86,2.31825367222882E-05,14,0.000676,86,0.000018778,17,0.000825,83,1.69002274645891E-05
158,14,0.000687,86,2.0864283044375E-05,14,0.000676,86,1.69002321115386E-05,14,0.000693,86,1.52102047223934E-05
159,14,0.00068,86,1.87778547342532E-05,14,0.000675,86,1.52102089003847E-05,17,0.000823,83,1.36891842572595E-05
160,16,0.000764,84,1.69000692551435E-05,27,0.001275,-26,1.36891880089252E-05,16,0.00078,84,1.2320265838639E-05
161,14,0.000679,86,1.52100623296292E-05,14,0.000684,86,1.23202692066116E-05,18,0.000864,82,1.10882392476697E-05
162,16,0.000765,84,1.36890561037717E-05,14,0.000679,86,1.10882422887926E-05,17,0.000828,83,9.97941532432378E-06
163,17,0.000806,83,1.23201504891313E-05,16,0.000805,84,9.97941806701874E-06,31,0.001453,-30,8.98147379757575E-06
164,16,0.000767,84,1.1088135437376E-05,14,0.000694,86,8.98147625605361E-06,31,0.001447,-30,8.08332642066034E-06
165,15,0.000727,85,9.97932188795403E-06,16,0.000769,84,8.08332863755368E-06,14,0.000686,86,0.000007275
166,17,0.000828,83,8.98138969773754E-06,16,0.000769,84,0.000007275,38,0.001772,-37,6.54749439377156E-06
167,16,0.000769,84,8.08325073364813E-06,16,0.000773,84,6.54749619855011E-06,20,0.000955,80,5.89274495155223E-06
168,15,0.000727,85,7.27492566454657E-06,14,0.000695,86,5.89274658580052E-06,27,0.001285,-26,5.30347045923918E-06
169,14,0.000679,86,6.54743310235517E-06,27,0.001266,-26,5.30347192295722E-06,20,0.000964,-19,4.77312340763092E-06
170,14,0.000682,86,5.89268979922508E-06,14,0.000679,86,4.77312472924041E-06,18,0.000872,-17,4.29581106686783E-06
171,14,0.000694,86,5.30342082072366E-06,17,0.000811,83,4.29581226057962E-06,19,0.00092,-18,3.86622996018104E-06
172,14,0.000677,86,4.77307874291455E-06,16,0.000781,84,3.866231040206E-06,33,0.001546,-32,3.47960695989968E-06
173,103,0.004624,-102,4.29577086435984E-06,14,0.000676,86,3.47960794044866E-06,22,0.001051,-21,3.13164626675189E-06
174,18,0.000855,-17,3.86619377934494E-06,33,0.001521,-32,3.13164714782488E-06,53,0.002453,-151,2.81848163297127E-06
175,14,0.000692,86,3.47957440283153E-06,14,0.000682,86,2.81848242877913E-06,14,0.000687,86,2.5366334739374E-06
176,14,0.00068,86,3.13161696396946E-06,16,0.000779,84,2.53663418448014E-06,16,0.000775,84,0.000002283
177,14,0.000681,86,2.81845527183577E-06,48,0.002196,-146,0.000002283,16,0.000786,84,2.05467311786833E-06
178,14,0.000678,86,2.53660974181003E-06,17,0.000821,83,2.05467368630252E-06,20,0.000959,80,1.84920580181824E-06
179,14,0.000676,86,2.28294877047119E-06,30,0.001397,-29,1.84920631340901E-06,85,0.003897,-282,1.66428522163642E-06
180,14,0.000689,86,2.0546538905819E-06,14,0.000679,86,1.66428567638377E-06,19,0.00091,-18,1.49785670089386E-06
181,14,0.000678,86,1.84918850720806E-06,14,0.000675,86,1.49785711300865E-06,51,0.00235,-50,1.34807102369905E-06
182,14,0.000683,86,1.66426966075051E-06,14,0.000682,86,1.34807140739213E-06,14,0.000688,86,1.21326392843457E-06
183,15,0.000717,85,1.49784268899111E-06,14,0.000681,86,1.21326426949508E-06,15,0.000728,-14,1.09193753417003E-06
184,14,0.000674,86,1.34805841867092E-06,17,0.00081,83,1.09193784680883E-06,14,0.000688,86,9.82743785016282E-07
185,14,0.000676,86,1.21325257396165E-06,15,0.000725,85,9.82744055022522E-07,57,0.002625,-56,8.84469400830312E-07
186,14,0.000672,86,1.09192731656549E-06,14,0.000681,86,8.84469656625697E-07,14,0.000687,86,0.000000796
187,131,0.005867,-130,9.82734590593282E-07,16,0.000769,84,0.000000796,15,0.000737,85,7.16420217372615E-07
188,14,0.000679,86,8.84461130112868E-07,14,0.00068,86,7.16420416324581E-07,69,0.00318,-365,6.44778197056439E-07
189,14,0.000681,86,0.000000796,14,0.000681,86,6.44778381797551E-07,18,0.000863,82,5.80300380192966E-07
190,14,0.000688,86,7.1641350984919E-07,14,0.000675,86,5.80300550723223E-07,16,0.000777,84,5.22270340752584E-07
191,14,0.000679,86,6.44772157443185E-07,14,0.000697,86,5.22270497071986E-07,20,0.000961,-19,0.00000047
192,16,0.000768,84,5.8029493743561E-07,18,0.00086,82,0.00000047,14,0.000687,86,0.000000423
